Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5412","Yield","01653","Nutmeg, mace, cardamoms, raw","2022","2022","kg/ha","379.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01239.01","Okra","2022","2022","kg/ha","12496.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","kg/ha","16325.1","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01323","Oranges","2022","2022","kg/ha","14931.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01241.90","Other beans, green","2022","2022","kg/ha","2835.5","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2022","2022","kg/ha","6972.6","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01329","Other citrus fruit, n.e.c.","2022","2022","kg/ha","7592.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01359.90","Other fruits, n.e.c.","2022","2022","kg/ha","8807.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01449.90","Other oil seeds, n.e.c.","2022","2022","kg/ha","312.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01709.90","Other pulses n.e.c.","2022","2022","kg/ha","418.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01699","Other stimulant, spice and aromatic crops, n.e.c.","2022","2022","kg/ha","2122.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01349.20","Other stone fruits","2022","2022","kg/ha","3912.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01319","Other tropical fruits, n.e.c.","2022","2022","kg/ha","14508.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01290.90","Other vegetables, fresh n.e.c.","2022","2022","kg/ha","14281.1","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01317","Papayas","2022","2022","kg/ha","35606.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01342.01","Pears","2022","2022","kg/ha","7022.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01705","Peas, dry","2022","2022","kg/ha","1318.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01242","Peas, green","2022","2022","kg/ha","10478","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01651","Pepper (Piper spp.), raw","2022","2022","kg/ha","508.5","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01707","Pigeon peas, dry","2022","2022","kg/ha","861.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01318","Pineapples","2022","2022","kg/ha","17138.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01510","Potatoes","2022","2022","kg/ha","25236.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01443","Rape or colza seed","2022","2022","kg/ha","1497","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0113","Rice","2022","2022","kg/ha","4229.4","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01446","Safflower seed","2022","2022","kg/ha","776.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01921.01","Seed cotton, unginned","2022","2022","kg/ha","1211.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01444","Sesame seed","2022","2022","kg/ha","484.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0114","Sorghum","2022","2022","kg/ha","1092","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0141","Soya beans","2022","2022","kg/ha","1069.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01802","Sugar cane","2022","2022","kg/ha","84906.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01445","Sunflower seed","2022","2022","kg/ha","922.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01530","Sweet potatoes","2022","2022","kg/ha","11065.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2022","2022","kg/ha","10164.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01234","Tomatoes","2022","2022","kg/ha","24548","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01970","Unmanufactured tobacco","2022","2022","kg/ha","1815.6","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01221","Watermelons","2022","2022","kg/ha","27566.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2022","2022","kg/ha","3537.3","A","Official figure",""
